wavelength_nm,mono,green,blue,red
650.0000,0.3670,0.0689,0.0185,0.3524
651.0000,0.3639,0.0674,0.0186,0.3503
652.0000,0.3600,0.0660,0.0188,0.3482
653.0000,0.3559,0.0648,0.0189,0.3461
654.0000,0.3519,0.0638,0.0192,0.3442
655.0000,0.3478,0.0629,0.0194,0.3424
656.0000,0.3439,0.0621,0.0197,0.3404
657.0000,0.3413,0.0616,0.0200,0.3384
658.0000,0.3399,0.0612,0.0203,0.3363
659.0000,0.3401,0.0609,0.0206,0.3342
660.0000,0.3390,0.0610,0.0210,0.3322
661.0000,0.3371,0.0614,0.0212,0.3302
662.0000,0.3351,0.0618,0.0213,0.3282
663.0000,0.3331,0.0625,0.0213,0.3262
664.0000,0.3310,0.0634,0.0213,0.3242
665.0000,0.3285,0.0643,0.0214,0.3221
666.0000,0.3243,0.0653,0.0215,0.3202
667.0000,0.3229,0.0665,0.0216,0.3181
668.0000,0.3231,0.0677,0.0218,0.3161
669.0000,0.3212,0.0690,0.0219,0.3142
670.0000,0.3192,0.0704,0.0222,0.3121
671.0000,0.3171,0.0718,0.0225,0.3101
672.0000,0.3149,0.0733,0.0228,0.3081
673.0000,0.3129,0.0749,0.0230,0.3061
674.0000,0.3094,0.0765,0.0231,0.3041
675.0000,0.3053,0.0780,0.0233,0.3021
676.0000,0.3033,0.0795,0.0234,0.3002
677.0000,0.3012,0.0811,0.0236,0.2982
678.0000,0.2991,0.0829,0.0237,0.2963
679.0000,0.2973,0.0847,0.0239,0.2944
680.0000,0.2954,0.0865,0.0240,0.2925
681.0000,0.2935,0.0883,0.0242,0.2907
682.0000,0.2915,0.0901,0.0243,0.2889
683.0000,0.2896,0.0919,0.0245,0.2871
684.0000,0.2878,0.0936,0.0246,0.2854
685.0000,0.2869,0.0952,0.0248,0.2836
686.0000,0.2910,0.0969,0.0249,0.2818
687.0000,0.2946,0.0985,0.0251,0.2800
688.0000,0.2972,0.1002,0.0252,0.2782
689.0000,0.3022,0.1018,0.0254,0.2764
690.0000,0.3074,0.1034,0.0255,0.2747
691.0000,0.3125,0.1048,0.0256,0.2731
692.0000,0.3167,0.1061,0.0256,0.2717
693.0000,0.3157,0.1073,0.0256,0.2703
694.0000,0.3149,0.1085,0.0256,0.2689
695.0000,0.3151,0.1095,0.0256,0.2676
696.0000,0.3128,0.1104,0.0256,0.2663
697.0000,0.3101,0.1112,0.0256,0.2648
698.0000,0.3074,0.1119,0.0256,0.2634
699.0000,0.3047,0.1123,0.0256,0.2620
700.0000,0.3022,0.1128,0.0255,0.2607
701.0000,0.2998,0.1132,0.0254,0.2593
702.0000,0.2976,0.1137,0.0252,0.2580
703.0000,0.2953,0.1140,0.0250,0.2568
704.0000,0.2931,0.1144,0.0247,0.2556
705.0000,0.2912,0.1148,0.0243,0.2546
706.0000,0.2892,0.1153,0.0239,0.2534
707.0000,0.2873,0.1157,0.0235,0.2523
708.0000,0.2853,0.1159,0.0232,0.2513
709.0000,0.2831,0.1161,0.0228,0.2504
710.0000,0.2810,0.1162,0.0224,0.2495
711.0000,0.2790,0.1163,0.0221,0.2486
712.0000,0.2769,0.1163,0.0216,0.2477
713.0000,0.2750,0.1163,0.0212,0.2469
714.0000,0.2725,0.1163,0.0207,0.2461
715.0000,0.2693,0.1163,0.0201,0.2452
716.0000,0.2673,0.1163,0.0196,0.2445
717.0000,0.2652,0.1163,0.0192,0.2438
718.0000,0.2627,0.1163,0.0187,0.2432
719.0000,0.2614,0.1163,0.0183,0.2426
720.0000,0.2604,0.1162,0.0178,0.2420
721.0000,0.2597,0.1161,0.0174,0.2415
722.0000,0.2591,0.1159,0.0169,0.2412
723.0000,0.2583,0.1158,0.0165,0.2407
724.0000,0.2583,0.1156,0.0160,0.2401
725.0000,0.2587,0.1155,0.0154,0.2395
726.0000,0.2580,0.1153,0.0149,0.2389
727.0000,0.2571,0.1152,0.0145,0.2383
728.0000,0.2565,0.1152,0.0140,0.2377
729.0000,0.2568,0.1152,0.0136,0.2371
730.0000,0.2562,0.1152,0.0131,0.2367
731.0000,0.2547,0.1150,0.0127,0.2363
732.0000,0.2525,0.1147,0.0124,0.2357
733.0000,0.2503,0.1144,0.0121,0.2350
734.0000,0.2479,0.1141,0.0118,0.2343
735.0000,0.2449,0.1138,0.0116,0.2337
736.0000,0.2426,0.1134,0.0114,0.2330
737.0000,0.2406,0.1132,0.0112,0.2322
738.0000,0.2389,0.1131,0.0111,0.2313
739.0000,0.2380,0.1131,0.0111,0.2307
740.0000,0.2371,0.1131,0.0111,0.2302
741.0000,0.2365,0.1131,0.0112,0.2297
742.0000,0.2364,0.1131,0.0115,0.2289
743.0000,0.2357,0.1131,0.0119,0.2283
744.0000,0.2346,0.1131,0.0123,0.2277
745.0000,0.2334,0.1131,0.0128,0.2269
746.0000,0.2323,0.1132,0.0132,0.2261
747.0000,0.2313,0.1134,0.0137,0.2253
748.0000,0.2302,0.1138,0.0143,0.2244
749.0000,0.2288,0.1141,0.0151,0.2236
750.0000,0.2277,0.1144,0.0158,0.2226
751.0000,0.2266,0.1149,0.0166,0.2216
752.0000,0.2254,0.1154,0.0177,0.2207
753.0000,0.2241,0.1157,0.0188,0.2195
754.0000,0.2228,0.1159,0.0200,0.2185
755.0000,0.2214,0.1161,0.0212,0.2178
756.0000,0.2201,0.1164,0.0224,0.2171
757.0000,0.2187,0.1166,0.0237,0.2163
758.0000,0.2174,0.1170,0.0250,0.2156
759.0000,0.2162,0.1174,0.0263,0.2148
760.0000,0.2152,0.1179,0.0277,0.2141
761.0000,0.2143,0.1183,0.0291,0.2132
762.0000,0.2131,0.1189,0.0309,0.2122
763.0000,0.2120,0.1194,0.0327,0.2113
764.0000,0.2109,0.1199,0.0345,0.2103
765.0000,0.2099,0.1203,0.0363,0.2093
766.0000,0.2088,0.1208,0.0381,0.2082
767.0000,0.2075,0.1212,0.0400,0.2072
768.0000,0.2062,0.1217,0.0419,0.2061
769.0000,0.2050,0.1221,0.0436,0.2051
770.0000,0.2036,0.1226,0.0455,0.2039
771.0000,0.2020,0.1230,0.0475,0.2028
772.0000,0.2001,0.1236,0.0494,0.2016
773.0000,0.1983,0.1241,0.0515,0.2003
774.0000,0.1964,0.1246,0.0535,0.1989
775.0000,0.1946,0.1250,0.0554,0.1976
776.0000,0.1929,0.1254,0.0574,0.1963
777.0000,0.1911,0.1259,0.0592,0.1952
778.0000,0.1896,0.1263,0.0610,0.1942
779.0000,0.1883,0.1266,0.0630,0.1931
780.0000,0.1871,0.1269,0.0648,0.1923
781.0000,0.1859,0.1272,0.0666,0.1915
782.0000,0.1847,0.1275,0.0684,0.1908
783.0000,0.1835,0.1279,0.0702,0.1899
784.0000,0.1824,0.1284,0.0720,0.1888
785.0000,0.1813,0.1288,0.0738,0.1878
786.0000,0.1803,0.1291,0.0754,0.1868
787.0000,0.1793,0.1294,0.0771,0.1858
788.0000,0.1782,0.1298,0.0787,0.1846
789.0000,0.1770,0.1301,0.0804,0.1834
790.0000,0.1760,0.1302,0.0819,0.1823
791.0000,0.1751,0.1302,0.0834,0.1812
792.0000,0.1740,0.1302,0.0849,0.1799
793.0000,0.1730,0.1302,0.0863,0.1785
794.0000,0.1720,0.1302,0.0876,0.1772
795.0000,0.1709,0.1302,0.0890,0.1759
796.0000,0.1699,0.1302,0.0902,0.1745
797.0000,0.1688,0.1301,0.0914,0.1732
798.0000,0.1676,0.1300,0.0924,0.1719
799.0000,0.1666,0.1297,0.0932,0.1708
800.0000,0.1657,0.1294,0.0940,0.1697
801.0000,0.1649,0.1291,0.0948,0.1685
802.0000,0.1641,0.1286,0.0956,0.1673
803.0000,0.1634,0.1282,0.0962,0.1661
804.0000,0.1626,0.1277,0.0968,0.1649
805.0000,0.1615,0.1273,0.0974,0.1635
806.0000,0.1604,0.1268,0.0981,0.1621
807.0000,0.1592,0.1263,0.0986,0.1606
808.0000,0.1579,0.1257,0.0990,0.1591
809.0000,0.1565,0.1251,0.0995,0.1576
810.0000,0.1550,0.1245,0.0999,0.1561
811.0000,0.1536,0.1239,0.1004,0.1546
812.0000,0.1522,0.1232,0.1008,0.1531
813.0000,0.1509,0.1225,0.1012,0.1517
814.0000,0.1495,0.1220,0.1017,0.1504
815.0000,0.1484,0.1215,0.1019,0.1494
816.0000,0.1472,0.1210,0.1021,0.1483
817.0000,0.1460,0.1203,0.1023,0.1471
818.0000,0.1448,0.1196,0.1026,0.1459
819.0000,0.1436,0.1189,0.1029,0.1447
820.0000,0.1424,0.1180,0.1032,0.1434
821.0000,0.1411,0.1171,0.1035,0.1420
822.0000,0.1395,0.1161,0.1038,0.1404
823.0000,0.1382,0.1151,0.1041,0.1388
824.0000,0.1369,0.1142,0.1044,0.1373
825.0000,0.1356,0.1133,0.1045,0.1359
826.0000,0.1342,0.1125,0.1046,0.1344
827.0000,0.1326,0.1118,0.1046,0.1329
828.0000,0.1310,0.1112,0.1046,0.1314
829.0000,0.1295,0.1107,0.1045,0.1300
830.0000,0.1279,0.1101,0.1043,0.1287
831.0000,0.1263,0.1095,0.1042,0.1273
832.0000,0.1249,0.1090,0.1040,0.1258
833.0000,0.1238,0.1086,0.1037,0.1243
834.0000,0.1227,0.1081,0.1032,0.1229
835.0000,0.1217,0.1075,0.1028,0.1215
836.0000,0.1207,0.1069,0.1023,0.1201
837.0000,0.1196,0.1059,0.1019,0.1186
838.0000,0.1184,0.1041,0.1014,0.1173
839.0000,0.1170,0.1023,0.1007,0.1162
840.0000,0.1156,0.1005,0.1001,0.1152
841.0000,0.1139,0.0988,0.0997,0.1141
842.0000,0.1123,0.0972,0.0991,0.1131
843.0000,0.1108,0.0956,0.0986,0.1121
844.0000,0.1095,0.0945,0.0981,0.1112
845.0000,0.1083,0.0942,0.0975,0.1102
846.0000,0.1071,0.0938,0.0970,0.1090
847.0000,0.1060,0.0933,0.0964,0.1079
848.0000,0.1051,0.0927,0.0957,0.1070
849.0000,0.1044,0.0922,0.0948,0.1060
850.0000,0.1035,0.0917,0.0939,0.1049
851.0000,0.1024,0.0911,0.0931,0.1037
852.0000,0.1014,0.0905,0.0923,0.1027
853.0000,0.1004,0.0899,0.0916,0.1016
854.0000,0.0995,0.0893,0.0912,0.1005
855.0000,0.0985,0.0886,0.0909,0.0992
